"","total","pacotes","custo"
"405",4405,881,3524
"406",4190,838,3352
"407",4375,875,3500
"408",4290,858,3432
"409",4065,813,3252
"410",4085,817,3268
"411",4350,870,3480
"412",5520,1104,4416
"413",6350,1270,5080
"414",4735,947,3788
"415",4305,861,3444
"416",4525,905,3620
"417",5880,1176,4704
"418",4620,924,3696
"419",4700,940,3760
"420",5220,1044,4176
"421",6870,1374,5496
"422",3680,736,2944
"423",6315,1263,5052
"424",4790,958,3832
"425",5655,1131,4524
"426",5845,1169,4676
"427",5870,1174,4696
"428",4600,920,3680
"429",4755,951,3804
"430",4465,893,3572
"431",4510,902,3608
"432",4870,974,3896
"433",4945,989,3956
"434",4345,869,3476
"435",4295,859,3436
"436",4365,873,3492
"437",4810,962,3848
"438",5520,1104,4416
"439",4445,889,3556
"440",4320,864,3456
"441",3995,799,3196
"442",4995,999,3996
"443",4620,924,3696
"444",5055,1011,4044
"445",4090,818,3272
"446",4570,914,3656
"447",3195,639,2556
"448",4415,883,3532
"449",3960,792,3168
"450",4115,823,3292
"451",4915,983,3932
"452",6230,1246,4984
"453",4150,830,3320
"454",4980,996,3984
"455",4445,889,3556
"456",5285,1057,4228
"457",4025,805,3220
"458",5035,1007,4028
"459",4340,868,3472
"460",3155,631,2524
"461",4265,853,3412
"462",4775,955,3820
"463",4475,895,3580
"464",4085,817,3268
"465",4170,834,3336
"466",4260,852,3408
"467",4165,833,3332
"468",4380,876,3504
"469",4170,834,3336
"470",4360,872,3488
"471",3750,750,3000
"472",4015,803,3212
"473",5450,1090,4360
"474",3990,798,3192
"475",4150,830,3320
"476",3770,754,3016
"477",8805,1761,7044
"478",4595,919,3676
"479",5920,1184,4736
"480",4775,955,3820
"481",5345,1069,4276
"482",5960,1192,4768
"483",4025,805,3220
"484",4475,895,3580
"485",4965,993,3972
"486",3965,793,3172
"487",4920,984,3936
"488",4790,958,3832
"489",5255,1051,4204
"490",3400,680,2720
"491",3415,683,2732
"492",5010,1002,4008
"493",4285,857,3428
"494",4135,827,3308
"495",5635,1127,4508
"496",3990,798,3192
"497",5430,1086,4344
"498",5000,1000,4000
"499",6615,1323,5292
"500",4815,963,3852
"501",4165,833,3332
"502",5705,1141,4564
"503",5655,1131,4524
"504",5680,1136,4544
"505",4820,964,3856
"506",3795,759,3036
"507",5190,1038,4152
"508",3905,781,3124
"509",5210,1042,4168
"510",3505,701,2804
"511",4515,903,3612
"512",4780,956,3824
"513",5250,1050,4200
"514",3795,759,3036
"515",6175,1235,4940
"516",5490,1098,4392
"517",4765,953,3812
"518",4675,935,3740
"519",5130,1026,4104
"520",4390,878,3512
"521",6965,1393,5572
"522",3675,735,2940
"523",4635,927,3708
"524",4075,815,3260
"525",4960,992,3968
"526",4615,923,3692
"527",5095,1019,4076
"528",3825,765,3060
"529",4580,916,3664
"530",5790,1158,4632
"531",4585,917,3668
"532",4530,906,3624
"533",5320,1064,4256
"534",4900,980,3920
"535",3855,771,3084
"536",5580,1116,4464
"537",3660,732,2928
"538",5015,1003,4012
"539",4860,972,3888
"540",5535,1107,4428
"541",3670,734,2936
"542",4725,945,3780
"543",4150,830,3320
"544",3805,761,3044
"545",3775,755,3020
"546",5040,1008,4032
"547",4670,934,3736
"548",4425,885,3540
"549",4150,830,3320
"550",5285,1057,4228
"551",3570,714,2856
"552",3775,755,3020
"553",4815,963,3852
"554",4515,903,3612
"555",4135,827,3308
"556",4250,850,3400
"557",3400,680,2720
"558",5090,1018,4072
"559",5015,1003,4012
"560",4560,912,3648
"561",5975,1195,4780
"562",5140,1028,4112
"563",5885,1177,4708
"564",4235,847,3388
"565",4085,817,3268
"566",6025,1205,4820
"567",5415,1083,4332
"568",4560,912,3648
"569",3910,782,3128
"570",5785,1157,4628
"571",4815,963,3852
"572",4430,886,3544
"573",4120,824,3296
"574",4320,864,3456
"575",4680,936,3744
"576",5375,1075,4300
"577",6985,1397,5588
"578",4320,864,3456
"579",4010,802,3208
"580",4035,807,3228
"581",5315,1063,4252
"582",4020,804,3216
"583",5105,1021,4084
"584",4840,968,3872
"585",4265,853,3412
"586",4040,808,3232
"587",3855,771,3084
"588",5110,1022,4088
"589",4270,854,3416
"590",4110,822,3288
"591",4200,840,3360
"592",4420,884,3536
"593",5650,1130,4520
"594",4140,828,3312
"595",5175,1035,4140
"596",4070,814,3256
"597",4935,987,3948
"598",4240,848,3392
"599",4215,843,3372
"600",3900,780,3120
"601",4825,965,3860
"602",4200,840,3360
"603",6055,1211,4844
"604",3720,744,2976
"605",3580,716,2864
"606",4015,803,3212
"607",4655,931,3724
"608",5490,1098,4392
"609",4750,950,3800
"610",5020,1004,4016
"611",4025,805,3220
"612",4030,806,3224
"613",5005,1001,4004
"614",4540,908,3632
"615",4225,845,3380
"616",4910,982,3928
"617",6425,1285,5140
"618",3535,707,2828
"619",5475,1095,4380
"620",4785,957,3828
"621",4300,860,3440
"622",4275,855,3420
"623",4620,924,3696
"624",3675,735,2940
"625",4255,851,3404
"626",3985,797,3188
"627",3890,778,3112
"628",4030,806,3224
"629",3620,724,2896
"630",6230,1246,4984
"631",4605,921,3684
"632",4555,911,3644
"633",5830,1166,4664
"634",4195,839,3356
"635",4760,952,3808
"636",4385,877,3508
"637",4580,916,3664
"638",5455,1091,4364
"639",6085,1217,4868
"640",5780,1156,4624
"641",7130,1426,5704
"642",5390,1078,4312
"643",3920,784,3136
"644",4095,819,3276
"645",3935,787,3148
"646",3785,757,3028
"647",5405,1081,4324
"648",7435,1487,5948
"649",5375,1075,4300
"650",4915,983,3932
"651",5710,1142,4568
"652",6940,1388,5552
"653",4095,819,3276
"654",4785,957,3828
"655",7570,1514,6056
"656",4220,844,3376
"657",5945,1189,4756
"658",4300,860,3440
"659",4210,842,3368
"660",4045,809,3236
"661",4020,804,3216
"662",4010,802,3208
"663",4815,963,3852
"664",5650,1130,4520
"665",4395,879,3516
"666",4070,814,3256
"667",4425,885,3540
"668",5515,1103,4412
"669",3535,707,2828
"670",6145,1229,4916
"671",4930,986,3944
"672",4040,808,3232
"673",3780,756,3024
"674",5295,1059,4236
"675",4145,829,3316
"676",3910,782,3128
"677",4660,932,3728
"678",4665,933,3732
"679",4595,919,3676
"680",5410,1082,4328
"681",6375,1275,5100
"682",4155,831,3324
"683",4720,944,3776
"684",4125,825,3300
"685",4640,928,3712
"686",5520,1104,4416
"687",6165,1233,4932
"688",4755,951,3804
"689",4260,852,3408
"690",3650,730,2920
"691",4920,984,3936
"692",5445,1089,4356
"693",4060,812,3248
"694",5375,1075,4300
"695",3915,783,3132
"696",5970,1194,4776
"697",5215,1043,4172
"698",4900,980,3920
"699",5000,1000,4000
"700",4800,960,3840
"701",4020,804,3216
"702",6205,1241,4964
"703",4860,972,3888
"704",4220,844,3376
"705",3650,730,2920
"706",4800,960,3840
"707",4700,940,3760
"708",4320,864,3456
"709",4675,935,3740
"710",5430,1086,4344
"711",3935,787,3148
"712",4420,884,3536
"713",4695,939,3756
"714",5620,1124,4496
"715",3705,741,2964
"716",5985,1197,4788
"717",5810,1162,4648
"718",4545,909,3636
"719",4750,950,3800
"720",4490,898,3592
"721",3850,770,3080
"722",4655,931,3724
"723",5075,1015,4060
"724",4980,996,3984
"725",5095,1019,4076
"726",5325,1065,4260
"727",4405,881,3524
"728",3620,724,2896
"729",4590,918,3672
"730",4820,964,3856
"731",3850,770,3080
"732",3540,708,2832
"733",3415,683,2732
"734",4260,852,3408
"735",3860,772,3088
"736",5190,1038,4152
"737",4330,866,3464
"738",3690,738,2952
"739",3485,697,2788
"740",8595,1719,6876
"741",2990,598,2392
"742",6120,1224,4896
"743",4330,866,3464
"744",6820,1364,5456
"745",4045,809,3236
"746",4000,800,3200
"747",3745,749,2996
"748",3930,786,3144
"749",5485,1097,4388
"750",5330,1066,4264
"751",4075,815,3260
"752",4845,969,3876
"753",4490,898,3592
"754",4505,901,3604
"755",4830,966,3864
"756",4745,949,3796
"757",4965,993,3972
"758",3715,743,2972
"759",4075,815,3260
"760",4640,928,3712
"761",6255,1251,5004
"762",4850,970,3880
"763",5715,1143,4572
"764",5600,1120,4480
"765",4680,936,3744
"766",5175,1035,4140
"767",4280,856,3424
"768",5115,1023,4092
"769",3445,689,2756
"770",7320,1464,5856
"771",4290,858,3432
"772",4420,884,3536
"773",4545,909,3636
"774",4775,955,3820
"775",4390,878,3512
"776",4240,848,3392
"777",4845,969,3876
"778",4330,866,3464
"779",4155,831,3324
"780",3810,762,3048
"781",3850,770,3080
"782",6035,1207,4828
"783",4045,809,3236
"784",3680,736,2944
"785",4490,898,3592
"786",5005,1001,4004
"787",3660,732,2928
"788",3340,668,2672
"789",3955,791,3164
"790",5825,1165,4660
"791",6865,1373,5492
"792",5505,1101,4404
"793",4760,952,3808
"794",4360,872,3488
"795",4180,836,3344
"796",5190,1038,4152
"797",4850,970,3880
"798",5495,1099,4396
"799",5015,1003,4012
"800",4730,946,3784
"801",5700,1140,4560
"802",3785,757,3028
"803",5665,1133,4532
"804",4350,870,3480
"805",5025,1005,4020
"806",4770,954,3816
"807",4040,808,3232
"808",5600,1120,4480
"809",3110,622,2488
"810",3740,748,2992
"811",4735,947,3788
"812",4525,905,3620
"813",4700,940,3760
"814",4860,972,3888
"815",3680,736,2944
"816",4530,906,3624
"817",5540,1108,4432
"818",4980,996,3984
"819",3910,782,3128
"820",3465,693,2772
"821",4625,925,3700
"822",3865,773,3092
"823",4580,916,3664
"824",3815,763,3052
"825",3935,787,3148
"826",5270,1054,4216
"827",4330,866,3464
"828",3955,791,3164
"829",3655,731,2924
"830",4245,849,3396
"831",4750,950,3800
"832",4280,856,3424
"833",4175,835,3340
"834",3585,717,2868
"835",3535,707,2828
"836",4705,941,3764
"837",5350,1070,4280
"838",4900,980,3920
"839",5325,1065,4260
"840",4590,918,3672
"841",3970,794,3176
"842",4480,896,3584
"843",4495,899,3596
"844",5925,1185,4740
"845",5160,1032,4128
"846",5775,1155,4620
"847",8105,1621,6484
"848",4365,873,3492
"849",4160,832,3328
"850",4620,924,3696
"851",4255,851,3404
"852",8675,1735,6940
"853",4345,869,3476
"854",4775,955,3820
"855",4770,954,3816
"856",3905,781,3124
"857",5075,1015,4060
"858",3235,647,2588
"859",3370,674,2696
"860",5485,1097,4388
"861",4305,861,3444
"862",5305,1061,4244
"863",4065,813,3252
"864",4775,955,3820
"865",4310,862,3448
"866",5475,1095,4380
"867",4930,986,3944
"868",3705,741,2964
"869",4485,897,3588
"870",5380,1076,4304
"871",5505,1101,4404
"872",4270,854,3416
"873",6040,1208,4832
"874",4845,969,3876
"875",5400,1080,4320
"876",4435,887,3548
"877",4870,974,3896
"878",4020,804,3216
"879",5430,1086,4344
"880",5430,1086,4344
"881",4480,896,3584
"882",5305,1061,4244
"883",4710,942,3768
"884",6010,1202,4808
"885",5630,1126,4504
"886",4615,923,3692
"887",4250,850,3400
"888",4850,970,3880
"889",5305,1061,4244
"890",3995,799,3196
"891",3900,780,3120
"892",3995,799,3196
"893",4005,801,3204
"894",4690,938,3752
"895",3505,701,2804
"896",4880,976,3904
"897",4750,950,3800
"898",4765,953,3812
"899",3740,748,2992
"900",4085,817,3268
"901",4230,846,3384
"902",4080,816,3264
"903",3920,784,3136
"904",4715,943,3772
"905",3990,798,3192
"906",4725,945,3780
"907",4280,856,3424
"908",6345,1269,5076
"909",4955,991,3964
"910",7650,1530,6120
"911",5770,1154,4616
"912",4885,977,3908
"913",3605,721,2884
"914",4605,921,3684
"915",3965,793,3172
"916",5265,1053,4212
"917",4130,826,3304
"918",3385,677,2708
"919",4965,993,3972
"920",6205,1241,4964
"921",5895,1179,4716
"922",7785,1557,6228
"923",4575,915,3660
"924",4495,899,3596
"925",4305,861,3444
"926",5990,1198,4792
"927",4985,997,3988
"928",3965,793,3172
"929",5020,1004,4016
"930",4900,980,3920
